# RFC 0044 conformance baseline — homing-demo's pre-existing violations, grandfathered to warnings.
# One finding fingerprint per line: '<moduleClass> [<rule>] <message>' (line-number-independent).
# Covers the whole homing-demo crate (browsed by the demo's conformance studio):
#   - the animation demos redraw via rootElement.replaceChildren();
#   - the SVG demos + standard MPA read the view param via URLSearchParams;
#   - two animation modules predate the 250 effective-line global cap;
#   - MovingAnimalGame's audio still uses setTimeout — flagged by the downstream game-loop rule;
#   - DocViewWidget renders markdown via innerHTML.
# Anything NOT here is a NEW violation and fails the build. Regenerate deliberately; list should shrink.
#
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): (function (note, t) { setTimeout(function () { deathSynth.triggerAttackRelease(note, '16n'); }, t); })(notes[di], timing[di]);
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): bgmTimer = setTimeout(bgmStep, durationToMs(dur, bgmData.bpm));
hue.captains.singapura.js.homing.demo.es.svg.DecomposedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedTurtleDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.studio.DemoStandardMPA [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.playground.DocViewWidget [view-doctrine] innerHTML/outerHTML write (Pure-Component Views): body.innerHTML = marked.parse(md);

# ---- 2026-08-22: the 0.7.0 view-rule surface (no-inline-style / no-literal-color /
# use-dom-ops-party / view-doctrine / no-raw-href) grandfathered over the pre-existing
# modules AND the WorkspaceMPA-GENERATED appMain boilerplate (mainHost tweaks, error
# fallbacks) that every MPA app inherits — framework debt, tracked upstream. The
# hand-written RFC 0050 grid demo widgets are strict-clean and NOT listed here.
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var cell = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var container = document.createElement("label");
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var opt = document.createElement("option");
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var randomOpt = document.createElement("option");
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var select = document.createElement("select");
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var wrapper = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <g fill="url(#goldGrad)" stroke="#A67C00" stroke-width="0.8">
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M 260,249 Q 261,246 262,249" fill="none" stroke="#8B7536" stroke-width="2.5"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M187.247141 513.101424C189.077854 515.486595 191.787707 516.995122 194.809756 516.995122c5.517112 0 9.990244-5.032585 9.990244-11.239024s-4.473132-11.239024-9.990244-11.239025c-5.449678 0-9.882849 4.910205-9.990244 11.011747l7.407766 1.211317-4.980137 6.361287z" fill="#232323"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M188.565854 603.160976m-3.746342 0a3.746341 3.746341 0 1 0 7.492683 0 3.746341 3.746341 0 1 0-7.492683 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M192.312195 574.439024m-7.492683 0a7.492683 7.492683 0 1 0 14.985366 0 7.492683 7.492683 0 1 0-14.985366 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M194.809756 536.97561m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
